Interval=	0.001 s
ExcelDateTime=	4.5034649974269007e+004	18/04/2023 15:35:57.776842
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	ECG	Finapres derivative	Finapres NIBP	SBP	DBP	MAP	Heart rate
Range=	5.000 mV	1508.32 mmHg/s	10.000 V	100.0000 mmHg	100.0000 mmHg	100.0170 mmHg	110 BPM
UnitName=	*	*	mmHg	*	*	*	*
TopValue=	*	*	1000.00	*	*	*	*
BottomValue=	*	*	-1000.00	*	*	*	*
263.104	-0.1019462	-101.1363	85.375	NaN	NaN	NaN	NaN
263.105	-0.09294415	-94.03413	85.15625	NaN	NaN	NaN	NaN
263.106	-0.08356066	-90.90883	85.0625	NaN	NaN	NaN	NaN
263.107	-0.07403781	-96.59063	85.0625	NaN	NaN	NaN	NaN
263.108	-0.06456556	-90.34091	85.03125	NaN	NaN	NaN	NaN
263.109	-0.05552541	-102.2728	84.875	NaN	NaN	NaN	NaN
263.11	-0.0470915	-103.6931	84.75	NaN	NaN	NaN	NaN
263.111	-0.03941367	-107.3864	84.71875	NaN	NaN	NaN	NaN
263.112	-0.03258408	-112.5	84.4375	NaN	NaN	NaN	NaN
263.113	-0.02659544	-107.9546	84.5	NaN	NaN	NaN	NaN
263.114	-0.02163589	-101.1365	84.21875	NaN	NaN	NaN	NaN
263.115	-0.01760784	-96.59093	84.15625	NaN	NaN	NaN	NaN
263.116	-0.01442751	-94.60229	84.125	NaN	NaN	NaN	NaN
263.117	-0.01197509	-80.11371	84	NaN	NaN	NaN	NaN
263.118	-0.01002829	-83.52274	84	NaN	NaN	NaN	NaN
263.119	-0.008641592	-67.89744	83.875	NaN	NaN	NaN	NaN
263.12	-0.007544308	-61.3637	83.78125	NaN	NaN	NaN	NaN
263.121	-0.006550816	-51.42021	83.65625	NaN	NaN	NaN	NaN
263.122	-0.005485168	-27.27276	83.75	NaN	NaN	NaN	NaN
263.123	-0.004098555	-7.954538	83.5	NaN	NaN	NaN	NaN
263.124	-0.002481895	15.05679	83.65625	NaN	NaN	NaN	NaN
263.125	-0.0004130813	28.69308	83.625	NaN	NaN	NaN	NaN
263.126	0.002212539	42.61351	83.65625	NaN	NaN	NaN	NaN
263.127	0.005464761	41.76116	83.90625	NaN	NaN	NaN	NaN
263.128	0.009454023	46.59087	83.90625	NaN	NaN	NaN	NaN
263.129	0.0139623	42.89758	83.96875	NaN	NaN	NaN	NaN
263.13	0.01904106	42.04536	83.90625	NaN	NaN	NaN	NaN
263.131	0.02464648	45.17055	84.03125	NaN	NaN	NaN	NaN
263.132	0.03070833	50.56858	83.90625	NaN	NaN	NaN	NaN
263.133	0.03718706	66.19322	83.96875	NaN	NaN	NaN	NaN
263.134	0.04379066	91.19314	84.125	NaN	NaN	NaN	NaN
